name,type,size_bytes,size_mb,size_gb,file_count,markdown_count,text_count,js_count,ts_count,py_count,other_code_count,html_count,latest_modified_iso
.history,directory,563240,0.54,0.001,91,72,72,15,0,0,0,2,2025-08-05T09:54:31.827744Z
handsfree,directory,12418113502,11842.84,11.565,15585,286,318,218,2,3,0,2531,2025-08-05T08:32:29.303387Z
hope-ai,directory,601540,0.57,0.001,125,94,94,26,0,0,0,2,2025-08-05T20:18:00.964257Z
Knowledge backup 20250417,directory,143550,0.14,0.000,7,7,7,0,0,0,0,0,2025-04-17T06:46:40.404318Z
"Mindstream AI Decoded_ Your Pocket Guide to Models, Prompts, & Must-Try GPTs.pdf",file,23054595,21.99,0.021,1,0,0,0,0,0,0,0,2025-07-30T23:52:48.818663Z
notes for ai coding plans,directory,7567,0.01,0.000,1,1,1,0,0,0,0,0,2025-06-07T03:58:21.982172Z
OpenRouter Chat Tue Aug 05 2025.md,file,84176,0.08,0.000,1,1,1,0,0,0,0,0,2025-08-05T09:13:56.974580Z
Spatial Anchor MPE v25.7.10,directory,1165646497,1111.65,1.086,4942,442,458,173,0,0,0,488,2025-08-05T08:15:40.502774Z
Stigmergy_6Month_Knowledge_Extraction_2025-09-17T08-32-43Z,directory,62888,0.06,0.000,15,9,10,0,0,1,0,0,2025-09-17T11:26:10.554199Z
Summary OLD APP Drumpad.txt,file,14560,0.01,0.000,1,0,1,0,0,0,0,0,2025-04-22T18:46:14.222296Z
Tectangle code backups,directory,37026166,35.31,0.034,1881,14,67,1519,7,0,0,112,2025-04-01T19:52:19.438772Z
Tectangle Project folder,directory,11418418343,10889.45,10.634,170650,6267,6839,72494,18380,12,57,2187,2025-08-05T09:16:11.484346Z
TODO.txt,file,3435,0.00,0.000,1,0,1,0,0,0,0,0,2025-04-17T07:52:54.683507Z
tommy-notes.txt,file,35453,0.03,0.000,1,0,1,0,0,0,0,0,2025-06-20T19:40:50.162341Z
